EventTemplate,Occurrences
accepting AMQP connection <*> (10.0.11.208:35838 -> 10.0.11.23:5672) ,15
<*> <*> (10.0.11.208:35838 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,15
closing AMQP connection <*> (10.0.11.197:48400 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,15
accepting AMQP connection <*> (10.0.11.197:48408 -> 10.0.11.23:5672) ,22
<*> <*> (10.0.11.197:48408 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,21
closing AMQP connection <*> (10.0.11.208:35838 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,15
accepting AMQP connection <*> (10.0.11.208:35844 -> 10.0.11.23:5672) ,11
<*> <*> (10.0.11.208:35844 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,11
closing AMQP connection <*> (10.0.11.197:48408 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,21
accepting AMQP connection <*> (10.0.11.197:48414 -> 10.0.11.23:5672) ,14
<*> <*> (10.0.11.197:48414 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,14
closing AMQP connection <*> (10.0.11.208:35844 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,11
accepting AMQP connection <*> (10.0.11.208:35850 -> 10.0.11.23:5672) ,11
<*> <*> (10.0.11.208:35850 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,11
closing AMQP connection <*> (10.0.11.197:48414 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,14
closing AMQP connection <*> (10.0.11.208:35850 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,11
accepting AMQP connection <*> (10.0.11.197:48420 -> 10.0.11.23:5672) ,12
accepting AMQP connection <*> (10.0.11.208:35856 -> 10.0.11.23:5672) ,14
<*> <*> (10.0.11.208:35856 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,14
<*> <*> (10.0.11.197:48420 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,12
closing AMQP connection <*> (10.0.11.208:35856 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,14
accepting AMQP connection <*> (10.0.11.208:35862 -> 10.0.11.23:5672) ,15
<*> <*> (10.0.11.208:35862 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,15
closing AMQP connection <*> (10.0.11.197:48420 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,12
accepting AMQP connection <*> (10.0.11.197:48428 -> 10.0.11.23:5672) ,18
<*> <*> (10.0.11.197:48428 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,18
closing AMQP connection <*> (10.0.11.208:35862 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,15
accepting AMQP connection <*> (10.0.11.208:35870 -> 10.0.11.23:5672) ,21
<*> <*> (10.0.11.208:35870 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,21
